                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1473,                 1.9366,                 1.0855,                0.45646,                0.43845,                0.43744,                 0.3078,                 1.0424,                  1.031,                0.97806,               0.070096,              0.0033227,              0.0033227
                      1,                 1.0359,                 0.9919,                 1.0026,                0.58644,                0.51992,                0.53262,                0.38131,                 1.0262,                0.90372,                0.97019,               0.039964,              0.0065242,              0.0065242
                      2,                 1.0564,                0.98919,                 1.0137,                0.55222,                0.46821,                 0.4594,                0.29913,                  1.126,                 1.0425,                 1.0183,              0.0097003,              0.0095938,              0.0095938
                      3,                 1.0949,                 1.0177,                 1.0325,                 0.5055,                0.47235,                0.48939,                 0.3353,                 1.0779,                0.92371,                 1.0025,               0.009406,               0.009406,               0.009406
                      4,                 1.0721,                0.95253,                 1.0254,                0.61645,                0.48162,                0.53008,                0.35617,                 1.0574,                 0.8978,                0.99043,               0.009406,               0.009406,               0.009406
                      5,                 1.0549,                0.91405,                 1.0163,                0.59118,                0.50337,                0.55126,                0.38191,                 1.0362,                 0.8374,                0.97976,               0.009208,               0.009208,               0.009208
                      6,                 1.0306,                0.87189,                 1.0065,                0.61171,                0.54068,                0.57633,                0.40509,                 1.0428,                0.80367,                0.98071,                0.00901,                0.00901,                0.00901
                      7,                 1.0152,                 0.8371,                0.99919,                0.56908,                0.57839,                0.58789,                0.41153,                 1.0126,                0.78154,                0.97796,               0.008812,               0.008812,               0.008812
                      8,                0.99876,                0.81289,                0.99283,                0.63011,                0.58664,                0.61659,                   0.44,                 1.0065,                 0.7721,                0.96957,               0.008614,               0.008614,               0.008614
                      9,                 0.9877,                0.79258,                0.98696,                0.62447,                0.62518,                0.63846,                0.44812,                 1.0012,                0.73601,                0.96835,               0.008416,               0.008416,               0.008416
                     10,                0.98389,                 0.7742,                0.98601,                0.63888,                0.61179,                0.64689,                0.46566,                0.97717,                0.71384,                0.95896,               0.008218,               0.008218,               0.008218
                     11,                0.97255,                0.75477,                0.98055,                0.68666,                0.61243,                0.66033,                0.47363,                0.98194,                 0.7015,                0.95954,                0.00802,                0.00802,                0.00802
                     12,                0.96207,                0.74572,                0.97652,                0.66888,                0.65478,                0.67362,                 0.4749,                0.99522,                0.71165,                0.96439,               0.007822,               0.007822,               0.007822
                     13,                0.95663,                0.72619,                0.97356,                0.70528,                0.59467,                0.66937,                0.47923,                0.96896,                0.69259,                0.95041,               0.007624,               0.007624,               0.007624
                     14,                0.95273,                0.71717,                0.97171,                0.69317,                0.64613,                0.68929,                0.49642,                0.96478,                0.67439,                0.95484,               0.007426,               0.007426,               0.007426
                     15,                0.94414,                0.70668,                0.96776,                0.71181,                0.65586,                0.69718,                0.50103,                0.96459,                0.67411,                0.94788,               0.007228,               0.007228,               0.007228
                     16,                0.93827,                0.69157,                0.96205,                  0.688,                0.65869,                0.70075,                0.50043,                0.96359,                0.66641,                0.94444,                0.00703,                0.00703,                0.00703
                     17,                 0.9338,                0.68252,                0.96397,                0.69228,                0.65352,                0.69341,                0.49735,                0.95674,                0.66804,                0.94346,               0.006832,               0.006832,               0.006832
                     18,                0.92216,                0.67056,                0.95835,                0.68998,                 0.6701,                0.69826,                0.50458,                 0.9661,                0.65487,                 0.9397,               0.006634,               0.006634,               0.006634
                     19,                 0.9241,                0.66639,                0.95863,                0.71342,                0.69319,                0.72625,                0.52041,                0.95466,                0.64164,                0.94568,               0.006436,               0.006436,               0.006436
                     20,                0.91292,                0.65221,                0.95459,                 0.6957,                0.65942,                0.70936,                0.50818,                0.94943,                  0.643,                0.93782,               0.006238,               0.006238,               0.006238
